Timestamp,Opening,High,Low,Closing
2016-10-27,3517.73,3518.04,3461.91,3470.75
2016-10-26,3511.37,3529.85,3489.18,3517.73
2016-10-25,3501.72,3523.44,3490.31,3511.37
2016-10-24,3499.55,3522.36,3498.61,3501.72
2016-10-21,3508.37,3512.42,3489.42,3499.55
2016-10-20,3502.7,3514.33,3489.18,3508.37
2016-10-19,3500.27,3507.49,3485.81,3502.7
2016-10-18,3455.03,3502.08,3462.3,3500.27
2016-10-17,3460.43,3470.2,3438.22,3455.03
2016-10-14,3429.54,3464.41,3429.54,3460.43
2016-10-13,3460.66,3460.67,3418.37,3429.54
2016-10-12,3483.58,3487.24,3454.73,3460.66
2016-10-11,3503.28,3520.81,3483.49,3483.58
2016-10-10,3464.39,3503.28,3456.2,3503.28
2016-10-07,3487.18,3485.8,3461.97,3464.39
2016-10-06,3506.1,3510.49,3486.67,3487.18
2016-10-05,3515.65,3509.08,3483.94,3506.1
2016-10-04,3499.57,3518.73,3498.53,3515.65
2016-10-03,3489.6,3501.93,3481.51,3499.57
2016-09-30,3469.03,3489.67,3412.45,3489.6
2016-09-29,3472.27,3501.38,3464.07,3469.03
2016-09-28,3455.94,3478.09,3454.82,3472.27
2016-09-27,3449.38,3473.62,3428.59,3455.94
2016-09-26,3483.83,3480.96,3445.94,3449.38
2016-09-23,3493.35,3494.77,3463.11,3483.83
2016-09-22,3422.5,3494.02,3427.88,3493.35
2016-09-21,3399.27,3436.34,3402.63,3422.5
2016-09-20,3402.39,3410.59,3394.31,3399.27
2016-09-19,3359.08,3406.12,3366.78,3402.39
2016-09-16,3369.69,3382.82,3343.33,3359.08
2016-09-15,3347.13,3370.37,3335.42,3369.69
2016-09-14,3343.57,3368.1,3344.99,3347.13
2016-09-13,3375.81,3406.38,3343.15,3343.57
2016-09-12,3413.9,3407.44,3333.68,3375.81
2016-09-09,3466.37,3465.63,3408.35,3413.9
2016-09-08,3474.08,3488.05,3446.81,3466.37
2016-09-07,3448.01,3474.08,3444.79,3474.08
2016-09-06,3446.27,3467.41,3445.94,3448.01
2016-09-05,3451.01,3474.74,3444.8,3446.27
2016-09-02,3380.32,3451.01,3381.39,3451.01
2016-09-01,3369.52,3410.63,3371.73,3380.32
2016-08-31,3395.28,3409.98,3369.2,3369.52
2016-08-30,3408.56,3428.55,3395.28,3395.28
2016-08-29,3420.78,3418.89,3390.09,3408.56
2016-08-26,3385.86,3420.86,3379.07,3420.78
2016-08-25,3405.78,3405.63,3372.71,3385.86
2016-08-24,3398.15,3409.61,3376.53,3405.78
2016-08-23,3368.98,3401.7,3368.98,3398.15
2016-08-22,3377.45,3405.86,3363.2,3368.98
2016-08-19,3401.03,3404.09,3355.83,3377.45
2016-08-18,3362.7,3401.07,3365.01,3401.03
2016-08-17,3405.64,3412.6,3362.7,3362.7
2016-08-16,3453.16,3451.03,3405.64,3405.64
2016-08-15,3448.09,3460.19,3439.31,3453.16
